index,betascore,factorscore,index,DCIscore,index,Completeness,index,Informativeness,index,R
0.0,0.5975555555555555,0.4115555555555556,0.0,0.00845466872454079,0.0,0.013830570158649524,0.0,0.8538626256055141,0,0.2591538245651263
,,,1.0,0.019983201502008007,1.0,0.04383883893497864,1.0,0.5019153386499281,1,0.28387207637918727
,,,2.0,0.01380548592649801,2.0,0.029957097934165455,2.0,1.0045805005795152,2,0.2382336226364819
,,,3.0,0.017442637788909473,3.0,0.10568580938277772,3.0,0.36797337577339984,3,0.49535386831217904
,,,,,4.0,0.2021676790426099,4.0,0.3715868991659754,4,0.24713585492125578
,,,,,,,,,5,0.2623084329378162
,,,,,,,,,6,0.14513016785664148
,,,,,,,,,7,0.28170487919515935
,,,,,,,,,8,0.23549576960386942
,,,,,,,,,9,0.022990399323768635
,,,,,,,,,10,0.18873870679708418
,,,,,,,,,11,0.31439419701633564
,,,,,,,,,12,0.2327324809761641
,,,,,,,,,13,0.06074927478014259
,,,,,,,,,14,0.123840331054691
,,,,,,,,,15,0.2897990356999734
,,,,,,,,,16,0.25660355874783564
,,,,,,,,,17,0.2473290171921947
,,,,,,,,,18,0.20840108730380907
,,,,,,,,,19,0.6060334147002846
