index,betascore,factorscore,index,DCIscore,index,Completeness,index,Informativeness,index,R
0.0,0.6657778024673462,0.3877777777777778,0.0,0.016162328237764655,0.0,0.08078692324176473,0.0,0.6797003640193521,0,0.1080363696480309
,,,1.0,0.002335463155977835,1.0,0.06598390254583753,1.0,0.5341744559546145,1,0.01646010808346629
,,,2.0,0.006835066383419369,2.0,0.08463792300730211,2.0,0.9794802746203827,2,0.07519406805172103
,,,3.0,0.008233016703421032,3.0,0.33493911646523356,3.0,0.4229847135775665,3,0.001246688991678025
,,,4.0,0.005924806097433684,4.0,0.3392132425642649,4.0,0.4262866600170561,4,0.001046051348014918
,,,5.0,0.030234796738155566,,,,,5,0.10807594062255865
,,,6.0,0.017156961383782057,,,,,6,0.145891437826655
,,,7.0,0.014615174580125994,,,,,7,0.08021960982747213
,,,8.0,0.013155087248004429,,,,,8,0.07872361906788551
,,,9.0,0.005910929219945423,,,,,9,0.07004703690219864
,,,10.0,0.017248436015960395,,,,,10,0.010263708962734323
,,,11.0,0.006391600265475767,,,,,11,0.006322000094350728
,,,12.0,0.006869858240976078,,,,,12,0.05155030031692864
,,,13.0,0.010155790886231201,,,,,13,0.000618719224602385
,,,14.0,0.04335413186145383,,,,,14,0.0008727403097469948
,,,,,,,,,15,0.037076005980236595
,,,,,,,,,16,0.008499254044323213
,,,,,,,,,17,0.06023823614041865
,,,,,,,,,18,0.00079763407880692
,,,,,,,,,19,0.0018470421680319637
,,,,,,,,,20,0.006736116139663368
,,,,,,,,,21,0.005548624900605957
,,,,,,,,,22,0.04417281951419967
,,,,,,,,,23,0.0005522583693134285
,,,,,,,,,24,0.0008006064520084965
,,,,,,,,,25,0.11143413165395874
,,,,,,,,,26,0.14887195254501953
,,,,,,,,,27,0.0737872109089266
,,,,,,,,,28,0.44682884342327744
,,,,,,,,,29,0.06676844342698084
,,,,,,,,,30,0.0864212572400818
,,,,,,,,,31,0.15536784479351498
,,,,,,,,,32,0.07664718653882217
,,,,,,,,,33,0.30130045173855174
,,,,,,,,,34,0.04930104641318119
,,,,,,,,,35,0.07075855105625953
,,,,,,,,,36,0.1355311884532633
,,,,,,,,,37,0.07662931514174522
,,,,,,,,,38,0.03812448956318355
,,,,,,,,,39,0.25612105439765437
,,,,,,,,,40,0.115268849593372
,,,,,,,,,41,0.016408400987258254
,,,,,,,,,42,0.07743188545748982
,,,,,,,,,43,0.007005252453944364
,,,,,,,,,44,0.009252382263338766
,,,,,,,,,45,0.07013480374835158
,,,,,,,,,46,0.17608412238087331
,,,,,,,,,47,0.06842110395988453
,,,,,,,,,48,0.09007706844242641
,,,,,,,,,49,0.05052528585541326
,,,,,,,,,50,0.11505970477164947
,,,,,,,,,51,0.015464602571993677
,,,,,,,,,52,0.07229919070959859
,,,,,,,,,53,0.0009976504521188633
,,,,,,,,,54,0.0006466698805944962
,,,,,,,,,55,0.008054578580117419
,,,,,,,,,56,0.005075668519126103
,,,,,,,,,57,0.04834262245539092
,,,,,,,,,58,0.001567129334383336
,,,,,,,,,59,0.00047743675569752065
,,,,,,,,,60,0.007499066623255568
,,,,,,,,,61,0.005310685625481734
,,,,,,,,,62,0.051087022202954815
,,,,,,,,,63,0.0009719991046655444
,,,,,,,,,64,0.0009210907087431076
,,,,,,,,,65,0.07151609472454847
,,,,,,,,,66,0.012017700676826117
,,,,,,,,,67,0.057270920328924606
,,,,,,,,,68,0.002291727166772379
,,,,,,,,,69,0.0019819847978194325
,,,,,,,,,70,0.07366482065518141
,,,,,,,,,71,0.1471464084972416
,,,,,,,,,72,0.08670850844552246
,,,,,,,,,73,0.028896468588390144
,,,,,,,,,74,0.489391128320576
